Left Hand Side,Right Hand Side,Support,Confidence,Lift,Support_abs
Royal Canin - Húmido Gato Sterilised Loaf (85Gr.),Royal Canin - Húmido Gato Sterilised Wet (Jelly) (85Gr.),0.0010680337498664959,1.0,936.3,10
Bubi Nature Gato Atum/Manga,Bubi Nature Gato Frango/Ananás,0.001281640499839795,0.8571428571428571,668.7857142857142,12
Bubi Nature Gato Atum/Manga,Bubi Nature Gato Atum/Salmão,0.0010680337498664959,0.7142857142857143,668.7857142857142,10
Petfield - Lata Wetfood Dog Chicken » 410Gr,Petfield - Lata Wetfood Dog Meat & Vegetables » 410Gr,0.0011748371248531454,0.7333333333333334,624.2,11
Petfield - Lata Wetfood Dog Beef » 410Gr.,Petfield - Lata Wetfood Dog Meat & Vegetables » 410Gr,0.0011748371248531454,0.6875,585.1875,11
Petfield - Lata Wetfood Dog Beef » 410Gr.,Petfield - Lata Wetfood Dog Chicken » 410Gr,0.0013884438748264444,0.8125,507.1625,13
Petfield - Lata Wetfood Dog Beef » 410Gr.,Petfield Wetfood Patee Tray Dog Beef (300Gr.),0.001281640499839795,0.75,468.15,12
Petfield - Lata Wetfood Dog Chicken » 410Gr,Petfield Wetfood Patee Tray Dog Beef (300Gr.),0.0011748371248531454,0.7333333333333334,457.7466666666667,11
Avenal Cat Peixe (18kg),Petfield - Lata Wetfood Dog Beef » 410Gr.,0.0014952472498130942,0.43750000000000006,256.01953125000006,14
Avenal Cat Peixe (18kg),Petfield Wetfood Patee Tray Dog Beef (300Gr.),0.0013884438748264444,0.40625,253.58125,13
Art.207 - Tampa com Asa p/ Transp. Tino,Art.235 - Transportadora Tino Economica,0.0010680337498664959,0.4545454545454546,250.3475935828877,10
Campeão Cão Adulto Mix (20kg),Petfield - Lata Wetfood Dog Beef » 410Gr.,0.0014952472498130942,0.37837837837837834,221.4222972972973,14
Avenal Cat Peixe (18kg),Petfield - Lata Wetfood Dog Chicken » 410Gr,0.0011748371248531454,0.34375,214.56875,11
Campeão Cão Adulto Mix (20kg),Petfield Wetfood Patee Tray Dog Beef (300Gr.),0.001281640499839795,0.3243243243243243,202.44324324324322,12
Loro Parque Mix Papagaio Africano » 15kg,Loro Parque Mix Papagaios Amazonas » 15kg,0.0014952472498130942,0.4666666666666667,189.97391304347826,14
Campeão Cão Adulto Mix (20kg),Petfield - Lata Wetfood Dog Chicken » 410Gr,0.0011748371248531454,0.29729729729729726,185.57297297297296,11
Pet Cup - Papagaio Perfect Manutenção (10kg),Pet Cup - Papagaios Special Fruit Mix (10kg),0.0010680337498664959,0.22222222222222224,130.04166666666669,10
Avenal Cat Peixe (18kg),Campeão Cão Adulto Mix (20kg),0.0016020506247997437,0.46875,118.61908783783782,15
Nekton E 70Gr.,Nekton S 75Gr.,0.0014952472498130942,0.37837837837837834,107.35626535626534,14
Pet Cup - Mistura Periquitos Standard » 20kg,Pet Cup - Mistura Psitacideos Standard » 20KG,0.0013884438748264444,0.3023255813953488,83.25512995896032,13
Rolo Papel de Alcatrão 40cm,Rolo Papel de Alcatrão 57cm,0.0011748371248531454,0.18965517241379312,80.71551724137932,11
Papa Frutos Tropicais Pet Cup » 750Gr,Papa Ovo Humida Pet Cup 750Gr.,0.0011748371248531454,0.34375,78.50076219512195,11
Ninho Rendado c/ Suporte p/ Canários 10x6cm,"Ninho em Poliester » Ø10,5 cm",0.0010680337498664959,0.33333333333333337,70.93181818181819,10
Pet Cup - Cacatuas Gr. Porte Premium (15kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.0011748371248531454,0.611111111111111,65.02083333333333,11
Pet Cup - Mistura Agapornis Classic (20kg),Pet Cup - Mistura Canarios Standard » 20kg,0.0010680337498664959,0.1694915254237288,61.03650586701434,10
Deli Nature 20 - Serengeti (15kg),Deli Nature 22 - Amazonas Park (15kg),0.0013884438748264444,0.18309859154929578,51.95006402048656,13
Easyyem - Papa Amarela Canários Porte (5kg),Rolo Papel Absorvente Impermeável p/ Viveiro » 100x0.37Mt,0.0010680337498664959,0.26315789473684215,48.31269349845202,10
Pet Cup - Mistura Papagaios Standard » 15kg,Pet Cup - Mistura Psitacideos Standard » 20KG,0.0017088539997863932,0.1616161616161616,44.50623885918003,16
Pet Cup - Mistura Papagaios Premium (20kg),Pet Cup - Mistura Psitacideos Standard » 20KG,0.0011748371248531454,0.1506849315068493,41.495970991136176,11
Canhamo p/Aves 3kg,Pet Cup - Mistura Psitacideos Standard » 20KG,0.0010680337498664959,0.14705882352941177,40.49740484429066,10
Orlux - Remiline Granulado Universal » 1kg,Pet Cup - Mistura Psitacideos Profissional (20Kg),0.0010680337498664959,0.6250000000000001,35.90107361963191,10
Pet Cup - Mistura Papagaios Premium (20kg),Pet Cup - Mistura Periquitos Standard » 20kg,0.001281640499839795,0.1643835616438356,35.79356482956355,12
Canhamo p/Aves 3kg,Pet Cup - Mistura Periquitos Standard » 20kg,0.0011748371248531454,0.16176470588235292,35.223324213406286,11
Pet Cup - Mistura Psitacideos Standard » 20KG,Pet Cup - Papagaios Amazonas Premium (15kg),0.0011748371248531454,0.32352941176470584,34.42279411764705,11
Rolo Papel de Alcatrão 40cm,Rolo Papel de Alcatrão » 35cm,0.0010680337498664959,0.1724137931034483,33.63146551724138,10
"GOURMET GOLD Mousse para Gato - Coelho, Vaca, Vitela e Borrego (Pack 24x85Gr.)","GOURMET GOLD Tartelette para Gato - Frango, Vaca, Atum e Salmão (Pack 24x85Gr.)",0.007369432874078821,0.48251748251748255,32.50223876842582,69
Versele-Laga - Cuni Adult Complete 1.75kg,Versele-Laga - Feno Nature Timothy Hay (1kg),0.0023496742497062907,0.7586206896551725,31.851863306015158,22
Pet Cup - Mistura Papagaios Standard » 15kg,Pet Cup - Mistura Periquitos Standard » 20kg,0.0014952472498130942,0.14141414141414144,30.792107117688516,14
Canto Alegre - Perilha (800Gr),Niger » 700Gr.,0.0011748371248531454,0.20754716981132076,30.363502358490567,11
Pet Cup - Mistura Araras Premium (12kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.0024564776246929405,0.2804878048780488,29.84326496674058,23
Pet Cup - Mistura Canários Mosaico Premium (20kg),Rolo Papel Absorvente Impermeável p/ Viveiro » 100x0.37Mt,0.0023496742497062907,0.15714285714285714,28.849579831932772,22
Semente Linhaça Dourada Balde (2kg),Aveia Descascada » 4kg,0.001281640499839795,0.375,28.7797131147541,12
Pet Cup - Mistura Papagaios Premium (20kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.0019224607497596924,0.24657534246575344,26.235056039850562,18
GOURMET NATURE'S CREATIONS Lascas Atum e Gamba - 70Gr.,"GOURMET GOLD Tartelette para Gato - Frango, Vaca, Atum e Salmão (Pack 24x85Gr.)",0.0011748371248531454,0.37931034482758624,25.550235673530143,11
Pet Cup - Mistura Araras Premium (12kg),Pet Cup - Mistura Papagaios Africanos Premium (15kg),0.0023496742497062907,0.2682926829268293,24.871528616276265,22
Granulado Psitacideos Perfect » 2.50kg,Pet Cup - Mistura Psitacideos Profissional (20Kg),0.0010680337498664959,0.4166666666666667,23.9340490797546,10
Easyyem - Papa Amarela Canários Porte (5kg),Pet Cup - Mistura Canários Mosaico Premium (20kg),0.0013884438748264444,0.3421052631578947,22.879511278195487,13
Pet Cup - Mistura Agapornis Classic (20kg),Pet Cup - Mistura Periquitos Classic (20kg),0.0014952472498130942,0.23728813559322035,22.670702179176754,14
Pet Cup - Mistura Papagaios Premium (20kg),Pet Cup - Mistura Papagaios Standard » 15kg,0.001815657374773043,0.23287671232876714,22.024491490244916,17
Deli Nature 20 - Serengeti (15kg),Deli Nature 23 - Pantanal (12.5kg),0.0011748371248531454,0.15492957746478875,21.97887323943662,11
Versele-Laga - Cuni Adult Complete 8kg,Versele-Laga - Feno Nature Timothy Hay (1kg),0.0019224607497596924,0.5142857142857143,21.593081358103785,18
Pet Cup - Mistura Periquitos Classic (20kg),Pet Cup - Mistura Psitacideos Classic (20Kg),0.002029264124746342,0.19387755102040816,21.356182472989193,19
Canhamo p/Aves 3kg,Pet Cup - Mistura Papagaios Premium (20kg),0.0011748371248531454,0.16176470588235292,20.747985495568088,11
Pet Cup - Mistura Papagaios Africanos Premium (15kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.002029264124746342,0.18811881188118812,20.01541404140414,19
Aveia Descascada » 4kg,Canhamo p/Aves 3kg,0.001815657374773043,0.13934426229508198,19.186475409836067,17
